src,tgt
Lực lượng chức năng Trung Quốc đã đình chỉ và thu hồi số lượng lớn các loại rượu làm giả nhiều nhãn hiệu nổi tiếng của một cơ sở chuyên sản xuất rượu và tiêu thụ tại các thành phố lớn của Trung Quốc .,中国当局已暂停并收回了许多著名品牌的酒精生产品牌，并在中国主要城市消费。
"’ Pháp sẽ điều quân viễn chinh sang Syria tiêu diệt IS ?  ’  ,   ’ Thành lập chính phủ chuyển tiếp cho Syria trong 6 tháng tới ’  ,   ’ Tổng thống Syria mới sẽ được bầu cử trong 18 tháng ’  là những tin tức về tình hình chiến sự Syria mới nhất ngày  . Sự kiện :","&apos;France will send the expeditionary army to Syria to destroy IS?&apos;, &apos;Establishing a government transition to Syria in the next 6 months&apos;, &apos;The new Syrian president will be elected in 18 months&apos; is the news about the situation. Latest Syria战争于2015年11月16日。"
"Những cô gái Yazidi từng là nô lệ tình dục của khủng bố IS đã tiết lộ việc IS hãm hiếp ,  ép buộc phụ nữ và trẻ em truyền máu cho các tay súng bị thương .",曾经是性奴隶的Yazidi女孩是恐怖分子透露这是强奸，迫使妇女和儿童向受伤的枪手献血。
Tập đoàn Hoa Sen của đại gia Lê Phước Vũ đạt kết quả kinh doanh tích cực trong quý II năm tài chính 2019-2020 .,HOA SEN Group of Giant Le Phuoc Vu在2019-2020年第二季度取得了积极的业务成果。
"Theo thông tin từ xổ số Vietlott ,  kì quay thưởng hôm 27/9/2018 giải Jackpot trị giá hơn 67 tỷ đồng loại hình Power 6/55 đã không tìm ra người chơi may mắn trúng thưởng . Sự kiện :",根据Vietlott彩票的信息，2018年9月27日的奖金抽奖，价值超过670亿台电力6/55类型的大奖奖没有找到幸运的球员。
"Dự kiến ,  vào ngày 10/11 tới đây ,  liên doanh Maruti Suzuki sẽ chính thức vén màn thế hệ mới của dòng hatchback đô thị Celerio tại thị trường Ấn Độ .",预计将于11月10日，Maruti Suzuki合资企业将正式提升印度市场的新一代Celerio Urban掀背车线。
"Tỷ phú Jeff Bezos ,  ông chủ của Amazon đã trở thành người giàu nhất thế giới trong vài giờ ,  vượt lên cả cựu Chủ tịch Microsoft ,  Bill Gates ,  trong khi đó ,  tại Việt Nam ,  2 nữ đại gia phải hầu tòa .",亚马逊的所有者亿万富翁杰夫·贝佐斯（Jeff Bezos）成为世界上最富有的人几个小时，超过了前微软总统比尔·盖茨（Bill Gates），而在越南，两名女性巨人必须在法庭上。
Chiếc máy tính nhỏ nhất thế giới với kích thước chỉ bằng hạt muối nhưng có thể sở hữu nguồn dữ liệu khủng khiếp vừa được trình làng .,世界上最小的计算机只有盐晶粒的大小，但可以拥有刚刚发布的可怕数据源。
"Ngoài dự án Khu đô thị Nam Thăng Long ,  nhiều dự án khác của Tổng công ty Đầu tư phát triển hạ tầng đô thị  ( UDIC )  sau khi triển khai được xác định gây thất thu cho ngân sách nhà nước .  Vậy ,  trách nhiệm lãnh đạo đơn vị này ở đâu ?",除了Nam Thang Long Urban地区项目外，实施后，城市基础设施开发公司（UDIC）的许多其他项目被确定会导致国家预算的收入损失。那么，这个单位的领导者在哪里？
"Bánh nướng ,  bánh dẻo là món ăn cổ truyền không thể thiếu đối với mỗi gia đình trong dịp Trung thu .  Tuy nhiên ,  không phải ai cũng nên ăn bánh Trung thu . Sự kiện :",烤蛋糕，柔性面包是中期音乐节中每个家庭的必不可少的传统菜。但是，并非每个人都应该吃月亮蛋糕。
Tàu ngầm lớp Akula của Nga là một vũ khí quân sự có sức mạnh vô đối có khả năng xóa sổ mục tiêu chỉ trong một lần khai hỏa . Sự kiện :,俄罗斯阿库拉（Akula）级潜艇是一种军事武器，具有无与伦比的力量，能够在一场大火中擦除目标。
"Trụ sở cũ của Sở Giao thông vận tải ,  Sở Công thương ,  Hội Chữ thập đỏ và Hội Cựu chiến binh tỉnh Bình Dương đã được một người phụ nữ trúng đấu giá với 257 , 1 tỉ đồng .",运输部，工业和贸易系，红十字会和比恩·杜省退伍军人协会的旧总部被一名妇女拍卖，其中一名妇女的妇女为2571亿美元。
Hệ thống tên lửa Buk-M3 là một hệ thống vũ khí sở hữu những đặc tính kỹ thuật vượt trội hơn hẳn so với các loại tên lửa trước đó . Sự kiện :,Buk-M3导弹系统是一种武器系统，与以前的导弹相比具有优越的规格。事件：
"Tàu tên lửa KBO 2000 là vũ khí do Nga chế tạo được trang bị hệ thống tên lửa ,  pháo phòng không ,  ngư lôi cực mạnh . Sự kiện :",KBO 2000导弹船是一款配备了导弹，反射炮和非常强壮的鱼雷系统的俄罗斯制造武器。
"Thực hiện chỉ đạo của Ban chỉ đạo 389 quốc gia về tăng cường quản lý chất lượng mặt hàng xăng dầu ,  Ban chỉ đạo 389 các tỉnh ,  thành phố đã đồng loạt siết kiểm tra hoạt động nhập khẩu ,  sản xuất ,  kinh doanh mặt hàng này .  .  .",遵循国家指导委员会的指导389关于加强石油物品质量管理的指导，同时由389个省和城市组成的指导委员会同时挤压了商品的进口，生产和交易活动。这...
"Theo đó ,  tỉnh Hải Dương đang tiến hành những bước cần thiết để phấn đấu trước ngày 18/5 sẽ đưa vải thiều lên các sàn thương mại điện tử .  Trong khi đó tại Bắc Giang ,  năm nay đặc sản vải thiều cũng đã sẵn sàng để xuất khẩu sang Nhật Bản .",因此，海杜省正在采取必要的步骤来在5月18日之前努力奋斗，将莱切（Lychee）带到电子商务平台。同时，在Bac Giang，今年，Lychee专业也准备出口到日本。
"Cảnh sát Trung Quốc mới đây đã phát hiện một cơ sở sản xuất thịt lợn  “ bẩn “  ,  có sử dụng hóa chất độc hại trong quá trình sản xuất ,  gây ảnh hưởng nghiêm trọng đến sức khỏe người dân .",中国警察最近发现了一种“肮脏”的猪肉生产设施，在生产过程中使用有毒化学物质，严重影响了人们的健康。
Các đại lý ô tô hiện đang báo giá chiếc ô tô giá rẻ Toyota Wigo nhập khẩu với mức giá khởi điểm từ 300 triệu đồng . Sự kiện :,汽车经销商目前正在引用廉价的丰田Wigo汽车的起价3亿辆。活动：
"Thrillist gợi ý du khách đến Việt Nam phải thử cà phê ,  khám phá Sa Pa bằng xe máy hoặc đi bộ ,  thưởng thức ẩm thực đường phố Hà Nội .  .  .",Thrillist建议越南游客必须尝试咖啡，摩托车探索SA PA或散步，享受河内街美食...
Ủy ban thương mại liên bang Mỹ  ( FTC )  cho biết họ đang tiến hành một cuộc điều tra mở về thực tiễn riêng tư của Facebook Inc sau khi thông tin về dữ liệu của 50 triệu người sử dụng được tiết lộ . Sự kiện :,美国联邦贸易委员会（FTC）表示，在揭示了有关5000万用户数据的信息后，它正在对Facebook的隐私实践进行公开调查。
Đây là doanh nghiệp Việt Nam duy nhất tính đến thời điểm này cung cấp thiết bị xây dựng cho sân vận động phục vụ World Cup .,这是迄今为止唯一为世界杯体育场提供建筑设备的越南企业。
"Theo báo cáo từ Văn phòng Thống kê Quốc gia Anh  ( ONS )  cho biết ,  khoảng cách giàu – nghèo của Vương Quốc Anh đang tăng một cách đáng báo động .",根据英国国家统计局（ONS）的一份报告，英国的富裕差距越来越令人震惊。
Các nhà khoa học phát hiện  “ Mặt trăng thứ 2 “  quay quanh Trái đất với quỹ đạo hình móng ngựa kỳ quái .,科学家发现“第二个月亮”以奇异的马蹄形轨迹绕地球旋转。
Hãng xe Lamborghini mới đây đã ra cho mắt thị trường 2 chiếc Aventador S Roadster phiên bản đặc biệt và chỉ bán duy nhất tại thị trường Hàn Quốc .,兰博基尼（Lamborghini）最近通过两个特别版Aventador S Roadster推出了市场，仅在韩国市场上出售。
Kem chống nắng giá rẻ  “ núp bóng “  dưới đủ loại thương hiệu nổi tiếng đang tràn ngập thị trường .  Đã có rất nhiều cảnh báo về mức độ nguy hại của những sản phẩm này đối với làn da và sức khỏe người dùng,各种著名品牌下的廉价防晒“隐藏”正在淹没市场。关于这些产品对皮肤和用户健康的危险有很多警告
Phiên bản 2016 của mẫu xe giá rẻ Kia Rio sedan và hatchback vừa được bật mí với nhiều trang bị tiện nghi thuộc dạng cao cấp và có giá mềm hơn hầu hết các đối thủ cùng phân khúc . Sự kiện :,2016年版的便宜起亚轿车和掀背车型号刚刚透露了许多高端设施，并且比同一部分中的大多数竞争对手都柔和。
Tình hình Ukraine mới nhất đề cập đến  ’ OSCE chưa  “ bắt quả tang ”  người hay vũ khí từ Nga sang Ukraine ’ ;  ’ Tổng thống Ukraine Poroshenko ký ban hành luật bầu cử địa phương ’ ;  .  .  . Sự kiện :,乌克兰的最新情况提到“欧安组织并未“抓住”从俄罗斯到乌克兰的人或武器； “乌克兰总统波罗申科签署了地方选举法”； ...事件：
"Theo thông tin từ xổ số Vietlott ,  giá trị Jackpot 1 loại hình POWER 6/55 hiện đã lên tới hơn 75 tỷ đồng và đang chờ chủ nhân . Sự kiện :",根据Vietlott彩票的信息，头奖值1的功率类型6/55现在已达到750亿多，并且正在等待所有者。
"Lực lượng cứu hộ ngày 14 . 8 tìm thấy một lính cứu hỏa 19 tuổi vẫn còn sống ,  sau hơn 31 giờ mất tích từ vụ cháy nổ kinh hoàng ở thành phố Thiên Tân  ( Trung Quốc )  khiến ít nhất 50 người chết .",8月14日，救援部队发现了一名19岁的消防员，他还活着，经过31多个小时的失踪，从中国天津市（中国）的可怕大火失踪，导致至少50人死亡。
Chiếc ô tô SUV Chevrolet Trailblazer tiếp tục được giảm giá 50 triệu đồng/chiếc tại thị trường Việt trong tháng 4/2019 . Sự kiện :,SUV Chevrolet开拓者汽车在4月201日在越南市场上继续享受5000万张/单位的折扣。
"Tin tức mới nhất từ cảnh sát Singapore cho biết ,  một cô gái trẻ người Việt Nam đã thiệt mạng sau khi bị ngã văng ra khỏi xe máy và rơi từ đường cao tốc xuống .",新加坡警方的最新消息说，一名年轻的越南女孩从摩托车掉下来后被杀害，并从高速公路上掉下来。
"Thời gian gần đây ,  dư luận tại Hà Nội xôn xao về một loại dép được cho là xuất xứ từ Trung Quốc có chứa chất lạ ,  gây ngứa rát và tê chân cho người sử dụng .",最近，人们对河内的公众舆论被认为是一种凉鞋，这些凉鞋始于中国，其中包含奇怪的物质，引起了用户的瘙痒和麻木。
"Hiện tại ,  giá mận hậu đầu mùa tại Hà Nội khá đắt đỏ ,  lên đến 120 . 000 đồng một kg .  Mận hậu không chỉ được bán tại các chợ dân sinh mà còn được bán nhiều trên chợ online .","目前，河内早期李子的价格非常昂贵，每公斤高达120,000 vnd。李子不仅在人们的市场中出售，而且在在线市场上也出售。"
"Kết thúc sứ mệnh kéo dài 13 năm ,  tàu vũ trụ Cassini trị giá 3 , 3 tỷ USD của NASA sẽ biến thành quả cầu lửa vụt qua bầu trời sao Thổ .",在13年任务结束时，NASA的33亿美元卡西尼航天器将通过土星天空转动火球。
"Việc trang trí nhà đón Tết rất quan trọng đặc biệt là việc trang trí khu vực bàn ăn sẽ giúp bữa ăn của gia đình thêm phần ấm áp hơn .  Bên cạnh việc chuẩn bị những món ăn thật ngon ,  đừng quên việc tút tát lại khu vực quan trọng này nhé .",家庭装饰非常重要，尤其是用餐区的装饰将帮助家庭的餐点更加温暖。除了准备美味佳肴外，别忘了拍这个重要区域。
"Giá vàng hôm nay ngày 8/2 ở thị trường trong nước giảm mạnh .  Hiện tại ,  giá vàng trong nước dao động quanh ngưỡng 36 , 55 triệu đồng/lượng . Sự kiện :",今天2月8日在国内市场的金价急剧下降。目前，国内黄金价格的范围约为3655万顿/tael的门槛。
"Đại diện Công ty Cổ phần Sao Thái Dương kỳ vọng ,  từ hành trình Giải thưởng Chất lượng Quốc gia ,  các sản phẩm Việt Nam sẽ vươn tầm quốc tế  . Sự kiện :",Sao Thai Duong股份公司的代表预期，从国家质量奖的旅程中，越南产品将达到国际范围。活动：法院：
"Theo thông tin từ xổ số Vietlott ,  đơn vị này vừa trao giải thưởng trị giá hơn 66 , 6 tỷ đồng cho người phụ nữ may mắn đến từ Quảng Ninh . Sự kiện :",根据Vietlott彩票的信息，该单位刚刚授予了来自Quang Ninh的Lucky Woman的奖金超过666亿座。
Khách sạn trên những chiếc thuyền có phòng chung giường với nhiều người khác với giá thuê vào hàng siêu rẻ chỉ 9 . 000 đồng/đêm có gì đặc biệt ?,"这家酒店在船上设有共用房间，与许多其他人拥有超级便宜商品的租金只有9,000 fnd/night，什么是特别的？"
"Cửa hàng trên phố Hàng Mã  ( Hà Nội )  bật mí :  Giáng sinh ,  nếu tính tổng doanh thu của tất cả mọi loại hàng hóa ,  mỗi ngày cũng thu khoảng 80 triệu đồng .  Sự kiện :",Hang Ma Street（河内）的商店透露：圣诞节，如果计算所有商品的总收入，每天也收集约8000万。事件：
"Khi tham gia CPTPP Việt Nam sẽ có thêm nhiều cơ hội ,  nhưng cũng sẽ gặp phải không ít thách thức từ việc cạnh tranh hàng hóa và cải cách thể chế .",参加CPTPP时，越南将有更多的机会，但也将面临商品和机构改革竞争的许多挑战。
Úc nổi tiếng là địa điểm sinh sống của một số sinh vật nguy hiểm nhất thế giới và cũng là nơi nuôi dưỡng loài nhện sống lâu nhất trên thế giới .,澳大利亚以居住在世界上最危险的生物以及世界上最长的蜘蛛营养而闻名。
"Các doanh nghiệp xuất khẩu sang Trung Quốc nói riêng và các nước nói chung cần chủ động nắm bắt thông tin về yêu cầu của thị trường ,  từ đó hướng dẫn người nông dân tổ chức sản xuất theo đúng yêu cầu về chất lượng ,  tiêu chuẩn sản phẩm…",尤其是中国的企业，通常需要积极捕获有关市场要求的信息，从而指导农民根据质量和标准组织生产。产品…
Hãy tạo những thay đổi nhỏ trong căn phòng để làm mới không gian của bé .  Các bé sẽ vô cùng thích thú với diện mạo mới đầy sáng tạo và dễ thương trong căn phòng nhỏ của mình .,在房间中创建一些小变化，以刷新宝宝的空间。孩子们在他们的小房间里出现新的创意和可爱的外观会感到非常兴奋。
"Không như mọi năm ,  đồ chơi trẻ em truyền thống  “ made in Vietnam ”  năm nay với nhiều mẫu mã đẹp ,  màu sắc tươi sáng ,  an toàn cho trẻ đã chiếm lĩnh thị trường .",与每年不同，今年的传统“制造越南制造”玩具具有许多美丽的设计，鲜艳的色彩和儿童安全性，都占据了市场的主导地位。
"Đã xuất khẩu cà phê nguyên liệu sang nhiều nước châu Âu ,  song với chị Tuyết ,  chinh phục thị trường nội địa lại không đơn giản .",它已将原始咖啡出口到许多欧洲国家，但是随着Tuyet女士，征服国内市场并不简单。
"Con cá đắt nhất thế giới có mức giá  “ khủng ”  lên tới hơn 9 tỷ đồng ,  số tiền đủ để mua 3 căn chung cư cao cấp .",世界上最昂贵的鱼类的价格高达90亿以上，足以购买3套高端公寓。
"Hội nghị Nhóm tư vấn các nhà tài trợ cho Việt Nam  ( CG )  năm 2012 được tổ chức sáng nay 10/12 ,  tại Hà Nội .  Thủ tướng Chính phủ Nguyễn Tấn Dũng tham dự Hội nghị .",2012年越南赞助商会议于2012年在河内举行，于10/12在河内举行。总理Nguyen Tan Dung参加了会议。
Người dùng cần nắm rõ những tiêu chuẩn về một sản phẩm tã bỉm trẻ em chất lượng để đảm bảo mua phải hàng chính hãng .,用户需要了解优质尿布产品的标准，以确保购买真正的商品。
"Giá vàng hôm nay kết thúc tuần tăng mạnh với các phiên tăng liên tiếp và đạt mức kỷ lục ,  chủ yếu được hỗ trợ bởi sự suy yếu của đồng đô la . Sự kiện :",今天的黄金价格随着持续的增长和创纪录的水平而大幅提高，主要由美元的疲软支持。
"Với mức tiền dưới 300 triệu đồng ,  bạn có thể nghĩ tới 3 mẫu ô tô mới bao gồm :  Suzuki Blind Van 2018 ,  Kia Morning 2018 và Chevrolet Spark Duo Van 2018 . Sự kiện :",您可以想到三辆新车，包括：铃木盲人货车2018，起亚晨晨2018年和雪佛兰Spark Duo Van 2018，您可以想到三辆新车。
Nhiều loại thực phẩm mọi người lầm tưởng rằng là lành mạnh nhưng thực tế lại chứa rất nhiều đường và hóa chất gây hại cho sức khỏe nếu sử dụng không đúng cách .,许多人错误地认为它是健康的，但实际上包含许多对健康有害的糖和化学物质，如果使用不当。
Việc Đại học Kinh doanh và Công nghệ được cấp phép đào tạo y dược khiến dư luận dậy sóng và lo lắng là hoàn toàn có lý .,获得培训医学和药房许可的商业技术大学使公众兴奋，并担心这是完全合理的。
Tình hình Ukraine mới nhất cho biết Bộ Quốc phòng Ukraine đang cân nhắc triển khai binh lính tới Syria chống IS theo yêu cầu của Tổng thống Poroshenko . Sự kiện :,乌克兰的最新情况说，乌克兰国防部正在考虑应Poroshenko总统的要求将士兵部署到叙利亚。
"Với sự tiến bộ vượt bậc của công nghệ thông tin ,  việc xuất khẩu hàng hóa sang các quốc gia khác dễ dàng hơn .  Do đó ,  cơ hội cạnh tranh của mỗi sản phẩm là ngang nhau ,  còn thành công hay không phải phụ thuộc vào  “ đường đi ”  của mỗi quốc gia đó .",随着信息技术的出色进步，将商品出口到其他国家会更容易。因此，每种产品的竞争机会是平等的，成功或不取决于每个国家的“路径”。
"Ngày Tết ,  ngoài bánh chưng thì miến cũng là món ăn nhiều gia đình lựa chọn để thay cơm .  Tuy nhiên theo các chuyên gia dinh dưỡng không nên ăn quá nhiều miến vì có thể gây hại sức khỏe .",在Tet Holiday，除了Banh Chung外，Vermicelli还是许多选择换米的家庭的菜。但是，根据营养专家的说法，不应吃太多ver虫，因为它可能对健康有害。
"Nhiều người tự hỏi làm thế nào mà người Nhật Bản luôn khỏe ,  đẹp và sống thọ nhất thế giới .  Tất nhiên là họ có bí quyết riêng và bài viết sau đây sẽ bật mí cho bạn các bí quyết đó .",许多人想知道日本人总是最坚强，最美丽，生活在世界上。当然，他们有自己的秘密，以下文章将向您揭示这些秘密。
"Lo ngại mua phải cá chết nhiễm độc ,  nhiều người dân ở Hà Nội không lựa chọn hải sản trong thực đơn của gia đình .",担心河内的许多人在家庭菜单中没有选择海鲜。
"Chương trình triển lãm - truyền thông  “ Sản phẩm thương hiệu Việt tiêu biểu ”  tại hệ thống siêu thị Lotte Mart vừa được tổ chức tại TP .  Hồ Chí Minh và tại Bình Dương ,  Đồng Nai chương trình này sẽ kéo dài đến hết 03/8/2014 .",展览会 -Lotte Mart超市系统的沟通计划“典型的越南品牌产品”刚刚在Ho Chi Minh City举行。 Ho Chi Minh City和Dong Nai的Binh Duong，该计划将持续到2014年8月3日。
Nước rửa tay khô rất phổ biến trong đời sống tuy nhiên theo các nhà khoa học thì đây có thể là một trong những nguyên nhân gây nhiều bệnh ở người .,干手洗的水在生活中非常普遍，但根据科学家的说法，这可能是人类许多疾病的原因之一。
"Các tỷ phú thế giới đang tăng thêm 2 , 5 tỷ đô la mỗi ngày ,  trong khi một nửa dân số nghèo nhất toàn cầu chứng kiến giá trị ròng giảm dần .",世界亿万富翁每天增加25亿美元，而全球最贫困人口的一半见证了净价值的下降。
"Trần Thị Len và Nguyễn Thị Lệ Dung đã đem về 2 tấm HCV cho đoàn thể thao Việt Nam trong ngày hôm nay  ( 4/6 )  .  Đoàn thể thao Việt Nam tạm thời đứng thứ hai trên bảng tổng sắp huy chương với 4 HCV ,  1 HCB và 5 HCĐ .",Tran Thi Len和Nguyen Thi Le Dung今天（6月4日）为越南体育代表团带来了2枚金牌。越南体育代表团临时在综合桌子上获得了4枚金牌，1枚金牌和5枚铜牌排名第二。
"Song song với công tác cứu hộ tại hiện trường vụ máy bay Nga rơi tại Ai Cập trưa 31/10 ,  giới chuyên gia và truyền thông cũng đang khẩn trương làm rõ nguyên nhân vụ máy bay gặp nạn .",与10月31日中午在埃及发生的俄罗斯飞机失事现场的救援工作同时，专家和媒体也急剧阐明了坠机的原因。
"Chỉ trong chưa đầy nửa tháng ,  CTCP Dây cáp điện Việt Nam  ( Cadivi ,  mã chứng khoán :  CAV )  liên tiếp công bố 2 đơn từ nhiệm của hai cá nhân là thành viên Hội đồng quản trị doanh nghiệp .",在不到半个月的时间里，越南电气有线股票公司（Cadivi，股票代码：CAV）不断宣布了两个董事会成员的辞职申请。
Vladimir Putin là chính khách thành công và tạo được tiếng vang lớn .  Ông đồng thời là một con người đầy đam mê và chơi xuất sắc nhiều môn thể thao .,弗拉基米尔·普京（Vladimir Putin）是一位成功的政治家，并创造了一个很好的回声。他还是一个充满激情的人，在许多运动中都表现出色。
Tình hình Ukraine mới nhất cho biết Mỹ tin rằng giải pháp quân sự tại Donbass là một thảm họa nên từ chối cung cấp vũ khí sát thương cho Ukraine . Sự kiện :,乌克兰最新的情况说，美国认为，唐巴斯的军事解决方案是一场灾难，因此拒绝为乌克兰提供损坏武器。
"Phó Thủ tướng Vũ Văn Ninh đã đồng ý cho sử dụng khoảng 27 tỷ đồng để hỗ trợ đầu thu truyền hình số cho hộ nghèo ,  hộ cận nghèo tại thành phố Đà Nẵng và 5 huyện Bắc Quảng Nam .",副总理Vu Van Ninh同意使用大约270亿面VND，以支持Da Nang City和5个Bac Quang Nam地区的贫困和贫困家庭的数字电视接收器。
Giới phân tích dự báo Indonesia sẽ sớm phải tỏ thái độ cứng rắn với bản đồ đường lưỡi bò của Trung Quốc để bảo vệ chủ quyền quần đảo Natuna trên biển Đông . Sự kiện :,分析师预测，印度尼西亚将很快对中国的牛舌头图表现出艰难的态度，以保护南中国海纳图纳群岛的主权。
"Giá vàng hôm nay tiếp tục đà tăng nhẹ .  Theo các chuyên gia phân tích ,  giá vàng tuần này sẽ có chiều hướng tăng sau nhiều phiên giảm liên tiếp do nhà đầu tư đang chờ đợi cuộc họp của FED . Sự kiện :",今天的黄金价格继续略有上涨。根据分析师的说法，由于投资者正在等待美联储的会议，因此本周的黄金价格将往往会上涨。
"“ Trọc phú và con buôn đều giống nhau ở chỗ kiếm được tiền bằng cách lừa ai đó hoặc hại ai đó ,  chỉ khác nhau về quy mô thôi .  Con buôn thì quy mô nhỏ ,  còn trọc phú thì quy mô lớn .  Để đánh giá là một doanh nhân hay con buôn ,  người ta không nhìn vào quy mô mà ở cách kiếm tiền của họ “  .",“ Barus and Merchants仅通过欺骗某人或伤害某人（只有大小）来赚钱。商人小而小，富人很大。为了判断为企业家或商人，人们不会以赚钱的方式看待规模。”
"Theo nghiên cứu của các nhà khoa học Anh ,  nếu đại dịch zombie xảy ra thì nhân loại sẽ bị nuốt chửng chỉ trong vòng 100 ngày .",根据英国科学家的说法，如果发生僵尸流行，人类将在100天内吞噬。
"Ông Nguyễn Thanh Nam ,  CEO của Mytel và ông Trần Văn Bằng ,  Tổng giám đốc Telemor là hai gương mặt của Tập đoàn Công nghiệp - Viễn thông Quân đội  ( Viettel )  được đề cử giải thưởng Telecom Asia Awards . Sự kiện :",Mytel首席执行官Nguyen Thanh Nam先生和Telemor总经理Tran Van Bang先生是军事行业的两个面孔 - 电信集团（Viettel）提名为电信亚洲奖。
Chính sách một con kéo dài hơn ba thập kỷ của Trung Quốc đã và đang gây khủng hoảng dân số .  Mối lo ngại càng tăng khi Bắc Kinh công bố số liệu thống kê sau gần một năm chính sách này được nới lỏng .,中国一个 - 少数三年的政策一直在造成人口危机。在本政策近一年之后，北京发表统计数据时，担心的问题加剧了。
"Không chỉ chơi siêu xe để thể hiện sự đẳng cấp ,  nhiều đại gia Việt còn mạnh tay chi tiền tỷ để xây dựng chỗ ở như những toà lâu đài tráng lệ . Sự kiện :",不仅玩超级跑车展示课程，许多越南巨人还强劲地花费了数十亿美元来建造像宏伟的城堡这样的住宿。
"Nhiều người nghĩ thứ quả này chát sẽ không ăn được ,  nhưng nếu bạn biết chế biến một số món ngon từ táo mèo sẽ bị  ’ nghiện ’  luôn đấy . Sự kiện :",许多人认为这种水果将无法进食，但是如果您知道如何准备一些苹果猫的美味佳肴会“上瘾”。
"Khi Mặt trời ở vào giai đoạn ít hoạt động ,  lạnh và tối hơn ,  Trái đất sẽ có thể phải hứng chịu mùa đông lạnh tê tái hay thậm chí là một kỷ băng hà mini .",当太阳处于活跃，较冷，更黑暗的阶段时，地球将能够遭受寒冷的冬季麻木甚至迷你冰的困扰。
"Người dân Lục Ngạn  ( Bắc Giang )  có một mùa vải thiều năm 2019 bội thu ,  với doanh thu phá vỡ mốc kỷ lục 60 năm trở lại đây .",Luc Ngan People（BAC Giang）在2019年有一个保险杠的Litchi季节，收入打破了60年前的记录。
"Với khung cảnh hoang sơ ,  thơ mộng với những bờ cát trắng mịn ,  sạch đẹp ,  5 bãi biển đẹp dưới đây được du khách yêu thích nhất trong mùa hè năm nay .",凭借原始的，浪漫的风景，带有精美的白色沙滩，干净而美丽，下面的5个最美丽的海滩是今年夏天最受欢迎的游客。
"Các nguồn thạo tin cho biết ,  tỷ phú Amazon Jeff Bezos sẽ xuất hiện trước công chúng lần đầu tiên sau ồn ào ly hôn và có thể đi cùng người tình .",新闻的消息来源说，亿万富翁亚马逊杰夫·贝佐斯（Amazon Jeff Bezos）将在吵闹的离婚后首次在公开场合出现，并可以陪伴她的情人。
